# Biosample	Assay
esophagus squamous epithelium female adult (51 year)	ChIP-seq H3K36me3
esophagus squamous epithelium female adult (51 year)	ChIP-seq KDM1A
esophagus squamous epithelium female adult (51 year)	ChIP-seq SUZ12
esophagus squamous epithelium female adult (51 year)	small RNA-seq
right lobe of liver female adult (53 years)	ChIP-seq EZH2phosphoT487
right lobe of liver female adult (53 years)	ChIP-seq H3K27ac
right lobe of liver female adult (53 years)	ChIP-seq HDAC2
right lobe of liver female adult (53 years)	ChIP-seq SMC3
right lobe of liver female adult (53 years)	polyA RNA-seq
omental fat pad male adult (54 years)	ChIP-seq ETS1
omental fat pad male adult (54 years)	ChIP-seq H3K18ac
omental fat pad male adult (54 years)	ChIP-seq H4K8ac
omental fat pad male adult (54 years)	ChIP-seq RXRA
omental fat pad male adult (54 years)	RAMPAGE
HUES48	ChIP-seq ELK1
HUES48	ChIP-seq H3F3A
HUES48	ChIP-seq H3K9me3
HUES48	ChIP-seq REST
HUES48	ChIP-seq ZFP36
psoas muscle male child (3 years)	ChIP-seq EGR1
psoas muscle male child (3 years)	ChIP-seq H2BK15ac
psoas muscle male child (3 years)	ChIP-seq H3K9ac
psoas muscle male child (3 years)	ChIP-seq RAD21
psoas muscle male child (3 years)	ChIP-seq YY1
HEK293	ChIP-seq CHD2
HEK293	ChIP-seq H2BK120ac
HEK293	ChIP-seq H3K79me1
HEK293	ChIP-seq POLR2A
HEK293	ChIP-seq USF1
esophagus male adult (34 years)	ChIP-seq BHLHE40
esophagus male adult (34 years)	ChIP-seq H2AFZ
esophagus male adult (34 years)	ChIP-seq H3K4me2
esophagus male adult (34 years)	ChIP-seq MAZ
esophagus male adult (34 years)	ChIP-seq TBP
neutrophil male	CAGE
neutrophil male	ChIP-seq GABPA
neutrophil male	ChIP-seq H3K4ac
neutrophil male	ChIP-seq MAFK
neutrophil male	ChIP-seq TAF1
neutrophil male	total RNA-seq
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq FOXA1
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq H3K27me3
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq JUND
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq SP1
neurosphere female embryo (17 weeks) originated from ganglionic eminence	polyA depleted RNA-seq
SK-N-SH nuclear fraction	ChIP-seq EZH2
SK-N-SH nuclear fraction	ChIP-seq H3K23ac
SK-N-SH nuclear fraction	ChIP-seq H4K91ac
SK-N-SH nuclear fraction	ChIP-seq SIN3A
SK-N-SH nuclear fraction	microRNA-seq
lung female embryo (120 days)	ChIP-seq EP300
lung female embryo (120 days)	ChIP-seq H3K14ac
lung female embryo (120 days)	ChIP-seq H4K20me1
lung female embryo (120 days)	ChIP-seq RFX5
lung female embryo (120 days)	DNase-seq read-depth normalized signal
GM12892	ChIP-seq ELF1
GM12892	ChIP-seq H2BK5ac
GM12892	ChIP-seq H3K9me2
GM12892	ChIP-seq RCOR1
GM12892	ChIP-seq ZBTB33
SK-N-SH cytosolic fraction	ChIP-seq CTCF
SK-N-SH cytosolic fraction	ChIP-seq H2BK12ac
SK-N-SH cytosolic fraction	ChIP-seq H3K79me2
SK-N-SH cytosolic fraction	ChIP-seq POLR2AphosphoS5
SK-N-SH cytosolic fraction	ChIP-seq USF2
adrenal gland male adult (34 years)	ChIP-seq CEBPB
adrenal gland male adult (34 years)	ChIP-seq H2AK5ac
adrenal gland male adult (34 years)	ChIP-seq H3K4me3
adrenal gland male adult (34 years)	ChIP-seq NRF1
adrenal gland male adult (34 years)	ChIP-seq TCF12
PC-9	ChIP-seq ATF3
PC-9	ChIP-seq GTF2F1
PC-9	ChIP-seq H3K4me1
PC-9	ChIP-seq MAX
PC-9	ChIP-seq TARDBP
tongue female embryo (20 weeks) and female embryo (24 weeks)	ATAC-seq
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq FOXK2
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H3K36me3
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq KDM1A
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq SUZ12
tongue female embryo (20 weeks) and female embryo (24 weeks)	small RNA-seq
omental fat pad male adult (37 years)	ChIP-seq EZH2phosphoT487
omental fat pad male adult (37 years)	ChIP-seq H3K27ac
omental fat pad male adult (37 years)	ChIP-seq HDAC2
omental fat pad male adult (37 years)	ChIP-seq SMC3
omental fat pad male adult (37 years)	polyA RNA-seq
transverse colon male adult (37 years)	ChIP-seq ETS1
transverse colon male adult (37 years)	ChIP-seq H3K18ac
transverse colon male adult (37 years)	ChIP-seq H4K8ac
transverse colon male adult (37 years)	ChIP-seq RXRA
transverse colon male adult (37 years)	RAMPAGE
foreskin melanocyte male newborn	ChIP-seq ELK1
foreskin melanocyte male newborn	ChIP-seq H3F3A
foreskin melanocyte male newborn	ChIP-seq H3K9me3
foreskin melanocyte male newborn	ChIP-seq REST
foreskin melanocyte male newborn	ChIP-seq ZFP36
uterus female adult (53 years)	ChIP-seq EGR1
uterus female adult (53 years)	ChIP-seq H2BK15ac
uterus female adult (53 years)	ChIP-seq H3K9ac
uterus female adult (53 years)	ChIP-seq RAD21
uterus female adult (53 years)	ChIP-seq YY1
brain female embryo (17 weeks)	ChIP-seq CHD2
brain female embryo (17 weeks)	ChIP-seq H2BK120ac
brain female embryo (17 weeks)	ChIP-seq H3K79me1
brain female embryo (17 weeks)	ChIP-seq POLR2A
brain female embryo (17 weeks)	ChIP-seq USF1
thyroid gland female adult (53 years)	ChIP-seq BHLHE40
thyroid gland female adult (53 years)	ChIP-seq H2AFZ
thyroid gland female adult (53 years)	ChIP-seq H3K4me2
thyroid gland female adult (53 years)	ChIP-seq MAZ
thyroid gland female adult (53 years)	ChIP-seq TBP
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	CAGE
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq GABPA
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq H3K4ac
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq MAFK
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq TAF1
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	total RNA-seq
astrocyte	ChIP-seq FOXA1
astrocyte	ChIP-seq H3K27me3
astrocyte	ChIP-seq JUND
astrocyte	ChIP-seq SP1
astrocyte	polyA depleted RNA-seq
cardiac muscle cell	ChIP-seq EZH2
cardiac muscle cell	ChIP-seq H3K23ac
cardiac muscle cell	ChIP-seq H4K91ac
cardiac muscle cell	ChIP-seq SIN3A
cardiac muscle cell	microRNA-seq
A549	ChIP-seq EP300
A549	ChIP-seq H3K14ac
A549	ChIP-seq H4K20me1
A549	ChIP-seq RFX5
A549	DNase-seq read-depth normalized signal
SU-DHL-6	ChIP-seq ELF1
SU-DHL-6	ChIP-seq H2BK5ac
SU-DHL-6	ChIP-seq H3K9me2
SU-DHL-6	ChIP-seq RCOR1
SU-DHL-6	ChIP-seq ZBTB33
sigmoid colon male child (3 years)	ChIP-seq CTCF
sigmoid colon male child (3 years)	ChIP-seq H2BK12ac
sigmoid colon male child (3 years)	ChIP-seq H3K79me2
sigmoid colon male child (3 years)	ChIP-seq POLR2AphosphoS5
sigmoid colon male child (3 years)	ChIP-seq USF2
adrenal gland female adult (53 years)	ChIP-seq CEBPB
adrenal gland female adult (53 years)	ChIP-seq H2AK5ac
adrenal gland female adult (53 years)	ChIP-seq H3K4me3
adrenal gland female adult (53 years)	ChIP-seq NRF1
adrenal gland female adult (53 years)	ChIP-seq TCF12
DND-41	ChIP-seq ATF3
DND-41	ChIP-seq GTF2F1
DND-41	ChIP-seq H3K4me1
DND-41	ChIP-seq MAX
DND-41	ChIP-seq TARDBP
H4	ATAC-seq
H4	ChIP-seq FOXK2
H4	ChIP-seq H3K36me3
H4	ChIP-seq KDM1A
H4	ChIP-seq SUZ12
H4	small RNA-seq
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq EZH2phosphoT487
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq H3K27ac
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq HDAC2
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq SMC3
fibroblast of dermis female adult (44 years) and female adult (55 years)	polyA RNA-seq
stomach female adult (51 year)	ChIP-seq ETS1
stomach female adult (51 year)	ChIP-seq H3K18ac
stomach female adult (51 year)	ChIP-seq H4K8ac
stomach female adult (51 year)	ChIP-seq RXRA
stomach female adult (51 year)	RAMPAGE
ascending aorta female adult (51 year)	ChIP-seq ELK1
ascending aorta female adult (51 year)	ChIP-seq H3F3A
ascending aorta female adult (51 year)	ChIP-seq H3K9me3
ascending aorta female adult (51 year)	ChIP-seq REST
ascending aorta female adult (51 year)	ChIP-seq ZFP36
spleen male adult (37 years)	ChIP-seq EGR1
spleen male adult (37 years)	ChIP-seq H2BK15ac
spleen male adult (37 years)	ChIP-seq H3K9ac
spleen male adult (37 years)	ChIP-seq RAD21
spleen male adult (37 years)	ChIP-seq YY1
gastroesophageal sphincter male adult (54 years)	ChIP-seq CHD2
gastroesophageal sphincter male adult (54 years)	ChIP-seq H2BK120ac
gastroesophageal sphincter male adult (54 years)	ChIP-seq H3K79me1
gastroesophageal sphincter male adult (54 years)	ChIP-seq POLR2A
gastroesophageal sphincter male adult (54 years)	ChIP-seq USF1
endocrine pancreas male adult (45 years)	ChIP-seq BHLHE40
endocrine pancreas male adult (45 years)	ChIP-seq H2AFZ
endocrine pancreas male adult (45 years)	ChIP-seq H3K4me2
endocrine pancreas male adult (45 years)	ChIP-seq MAZ
endocrine pancreas male adult (45 years)	ChIP-seq TBP
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	CAGE
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq GABPA
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H3K4ac
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq MAFK
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq TAF1
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	total RNA-seq
MCF-7 nuclear fraction	ChIP-seq FOXA1
MCF-7 nuclear fraction	ChIP-seq H3K27me3
MCF-7 nuclear fraction	ChIP-seq JUND
MCF-7 nuclear fraction	ChIP-seq SP1
MCF-7 nuclear fraction	polyA depleted RNA-seq
BJ	ChIP-seq EZH2
BJ	ChIP-seq H3K23ac
BJ	ChIP-seq H4K91ac
BJ	ChIP-seq SIN3A
BJ	microRNA-seq
placental epithelial cell female newborn and male newborn	ChIP-seq EP300
placental epithelial cell female newborn and male newborn	ChIP-seq H3K14ac
placental epithelial cell female newborn and male newborn	ChIP-seq H4K20me1
placental epithelial cell female newborn and male newborn	ChIP-seq RFX5
placental epithelial cell female newborn and male newborn	DNase-seq read-depth normalized signal
gastroesophageal sphincter female adult (53 years)	ChIP-seq ELF1
gastroesophageal sphincter female adult (53 years)	ChIP-seq H2BK5ac
gastroesophageal sphincter female adult (53 years)	ChIP-seq H3K9me2
gastroesophageal sphincter female adult (53 years)	ChIP-seq RCOR1
gastroesophageal sphincter female adult (53 years)	ChIP-seq ZBTB33
SK-MEL-5 nuclear fraction	ChIP-seq CTCF
SK-MEL-5 nuclear fraction	ChIP-seq H2BK12ac
SK-MEL-5 nuclear fraction	ChIP-seq H3K79me2
SK-MEL-5 nuclear fraction	ChIP-seq POLR2AphosphoS5
SK-MEL-5 nuclear fraction	ChIP-seq USF2
heart left ventricle female adult (51 year)	ChIP-seq CEBPB
heart left ventricle female adult (51 year)	ChIP-seq H2AK5ac
heart left ventricle female adult (51 year)	ChIP-seq H3K4me3
heart left ventricle female adult (51 year)	ChIP-seq NRF1
heart left ventricle female adult (51 year)	ChIP-seq TCF12
pancreas male adult (34 years)	ChIP-seq ATF3
pancreas male adult (34 years)	ChIP-seq GTF2F1
pancreas male adult (34 years)	ChIP-seq H3K4me1
pancreas male adult (34 years)	ChIP-seq MAX
pancreas male adult (34 years)	ChIP-seq TARDBP
GM06990	ATAC-seq
GM06990	ChIP-seq FOXK2
GM06990	ChIP-seq H3K36me3
GM06990	ChIP-seq KDM1A
GM06990	ChIP-seq SUZ12
GM06990	small RNA-seq
suprapubic skin female adult (51 year)	ChIP-seq EZH2phosphoT487
suprapubic skin female adult (51 year)	ChIP-seq H3K27ac
suprapubic skin female adult (51 year)	ChIP-seq HDAC2
suprapubic skin female adult (51 year)	ChIP-seq SMC3
suprapubic skin female adult (51 year)	polyA RNA-seq
body of pancreas female adult (51 year)	ChIP-seq ETS1
body of pancreas female adult (51 year)	ChIP-seq H3K18ac
body of pancreas female adult (51 year)	ChIP-seq H4K8ac
body of pancreas female adult (51 year)	ChIP-seq RXRA
body of pancreas female adult (51 year)	RAMPAGE
GM12878 nucleolus fraction	ChIP-seq ELK1
GM12878 nucleolus fraction	ChIP-seq H3F3A
GM12878 nucleolus fraction	ChIP-seq H3K9me3
GM12878 nucleolus fraction	ChIP-seq REST
GM12878 nucleolus fraction	ChIP-seq ZFP36
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq EGR1
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H2BK15ac
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H3K9ac
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq RAD21
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq YY1
omental fat pad female adult (51 year)	ChIP-seq CHD2
omental fat pad female adult (51 year)	ChIP-seq H2BK120ac
omental fat pad female adult (51 year)	ChIP-seq H3K79me1
omental fat pad female adult (51 year)	ChIP-seq POLR2A
omental fat pad female adult (51 year)	ChIP-seq USF1
CD8-positive, alpha-beta T cell	ChIP-seq BHLHE40
CD8-positive, alpha-beta T cell	ChIP-seq H2AFZ
CD8-positive, alpha-beta T cell	ChIP-seq H3K4me2
CD8-positive, alpha-beta T cell	ChIP-seq MAZ
CD8-positive, alpha-beta T cell	ChIP-seq TBP
mammary epithelial cell female adult (23 years)	CAGE
mammary epithelial cell female adult (23 years)	ChIP-seq GABPA
mammary epithelial cell female adult (23 years)	ChIP-seq H3K4ac
mammary epithelial cell female adult (23 years)	ChIP-seq MAFK
mammary epithelial cell female adult (23 years)	ChIP-seq TAF1
mammary epithelial cell female adult (23 years)	total RNA-seq
chorionic villus embryo (16 weeks)	ChIP-seq FOXA1
chorionic villus embryo (16 weeks)	ChIP-seq H3K27me3
chorionic villus embryo (16 weeks)	ChIP-seq JUND
chorionic villus embryo (16 weeks)	ChIP-seq SP1
chorionic villus embryo (16 weeks)	polyA depleted RNA-seq
B cell male adult (21 year)	ChIP-seq EZH2
B cell male adult (21 year)	ChIP-seq H3K23ac
B cell male adult (21 year)	ChIP-seq H4K91ac
B cell male adult (21 year)	ChIP-seq SIN3A
B cell male adult (21 year)	microRNA-seq
stomach male adult (34 years)	ChIP-seq EP300
stomach male adult (34 years)	ChIP-seq H3K14ac
stomach male adult (34 years)	ChIP-seq H4K20me1
stomach male adult (34 years)	ChIP-seq RFX5
stomach male adult (34 years)	DNase-seq read-depth normalized signal
gastrocnemius medialis male adult (54 years)	ChIP-seq ELF1
gastrocnemius medialis male adult (54 years)	ChIP-seq H2BK5ac
gastrocnemius medialis male adult (54 years)	ChIP-seq H3K9me2
gastrocnemius medialis male adult (54 years)	ChIP-seq RCOR1
gastrocnemius medialis male adult (54 years)	ChIP-seq ZBTB33
SK-N-DZ nuclear fraction	ChIP-seq CTCF
SK-N-DZ nuclear fraction	ChIP-seq H2BK12ac
SK-N-DZ nuclear fraction	ChIP-seq H3K79me2
SK-N-DZ nuclear fraction	ChIP-seq POLR2AphosphoS5
SK-N-DZ nuclear fraction	ChIP-seq USF2
upper lobe of left lung female adult (51 year)	ChIP-seq CEBPB
upper lobe of left lung female adult (51 year)	ChIP-seq H2AK5ac
upper lobe of left lung female adult (51 year)	ChIP-seq H3K4me3
upper lobe of left lung female adult (51 year)	ChIP-seq NRF1
upper lobe of left lung female adult (51 year)	ChIP-seq TCF12
T-cell	ChIP-seq ATF3
T-cell	ChIP-seq GTF2F1
T-cell	ChIP-seq H3K4me1
T-cell	ChIP-seq MAX
T-cell	ChIP-seq TARDBP
kidney epithelial cell	ATAC-seq
kidney epithelial cell	ChIP-seq FOXK2
kidney epithelial cell	ChIP-seq H3K36me3
kidney epithelial cell	ChIP-seq KDM1A
kidney epithelial cell	ChIP-seq SUZ12
kidney epithelial cell	small RNA-seq
upper lobe of left lung male adult (37 years)	ChIP-seq EZH2phosphoT487
upper lobe of left lung male adult (37 years)	ChIP-seq H3K27ac
upper lobe of left lung male adult (37 years)	ChIP-seq HDAC2
upper lobe of left lung male adult (37 years)	ChIP-seq SMC3
upper lobe of left lung male adult (37 years)	polyA RNA-seq
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq ETS1
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq H3K18ac
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq H4K8ac
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq RXRA
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	RAMPAGE
chorionic villus female embryo (40 weeks)	ChIP-seq ELK1
chorionic villus female embryo (40 weeks)	ChIP-seq H3F3A
chorionic villus female embryo (40 weeks)	ChIP-seq H3K9me3
chorionic villus female embryo (40 weeks)	ChIP-seq REST
chorionic villus female embryo (40 weeks)	ChIP-seq ZFP36
K562 nucleolus fraction	ChIP-seq EGR1
K562 nucleolus fraction	ChIP-seq H2BK15ac
K562 nucleolus fraction	ChIP-seq H3K9ac
K562 nucleolus fraction	ChIP-seq RAD21
K562 nucleolus fraction	ChIP-seq YY1
tibial nerve male adult (37 years)	ChIP-seq CHD2
tibial nerve male adult (37 years)	ChIP-seq H2BK120ac
tibial nerve male adult (37 years)	ChIP-seq H3K79me1
tibial nerve male adult (37 years)	ChIP-seq POLR2A
tibial nerve male adult (37 years)	ChIP-seq USF1
kidney female embryo (120 days)	ChIP-seq BHLHE40
kidney female embryo (120 days)	ChIP-seq H2AFZ
kidney female embryo (120 days)	ChIP-seq H3K4me2
kidney female embryo (120 days)	ChIP-seq MAZ
kidney female embryo (120 days)	ChIP-seq TBP
spleen male adult (34 years)	CAGE
spleen male adult (34 years)	ChIP-seq GABPA
spleen male adult (34 years)	ChIP-seq H3K4ac
spleen male adult (34 years)	ChIP-seq MAFK
spleen male adult (34 years)	ChIP-seq TAF1
spleen male adult (34 years)	total RNA-seq
HeLa-S3 cytosolic fraction	ChIP-seq FOXA1
HeLa-S3 cytosolic fraction	ChIP-seq H3K27me3
HeLa-S3 cytosolic fraction	ChIP-seq JUND
HeLa-S3 cytosolic fraction	ChIP-seq SP1
HeLa-S3 cytosolic fraction	polyA depleted RNA-seq
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq EZH2
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq H3K23ac
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq H4K91ac
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq SIN3A
CD8-positive, alpha-beta T cell male adult (21 year)	microRNA-seq
iPS DF 6.9 male newborn	ChIP-seq EP300
iPS DF 6.9 male newborn	ChIP-seq H3K14ac
iPS DF 6.9 male newborn	ChIP-seq H4K20me1
iPS DF 6.9 male newborn	ChIP-seq RFX5
iPS DF 6.9 male newborn	DNase-seq read-depth normalized signal
small intestine male adult (34 years)	ChIP-seq ELF1
small intestine male adult (34 years)	ChIP-seq H2BK5ac
small intestine male adult (34 years)	ChIP-seq H3K9me2
small intestine male adult (34 years)	ChIP-seq RCOR1
small intestine male adult (34 years)	ChIP-seq ZBTB33
placenta female embryo (113 days)	ChIP-seq CTCF
placenta female embryo (113 days)	ChIP-seq H2BK12ac
placenta female embryo (113 days)	ChIP-seq H3K79me2
placenta female embryo (113 days)	ChIP-seq POLR2AphosphoS5
placenta female embryo (113 days)	ChIP-seq USF2
HepG2 cytosolic fraction	ChIP-seq CEBPB
HepG2 cytosolic fraction	ChIP-seq H2AK5ac
HepG2 cytosolic fraction	ChIP-seq H3K4me3
HepG2 cytosolic fraction	ChIP-seq NRF1
HepG2 cytosolic fraction	ChIP-seq TCF12
spleen male adult (54 years)	ChIP-seq ATF3
spleen male adult (54 years)	ChIP-seq GTF2F1
spleen male adult (54 years)	ChIP-seq H3K4me1
spleen male adult (54 years)	ChIP-seq MAX
spleen male adult (54 years)	ChIP-seq TARDBP
prostate gland male adult (54 years)	ATAC-seq
prostate gland male adult (54 years)	ChIP-seq FOXK2
prostate gland male adult (54 years)	ChIP-seq H3K36me3
prostate gland male adult (54 years)	ChIP-seq KDM1A
prostate gland male adult (54 years)	ChIP-seq SUZ12
prostate gland male adult (54 years)	small RNA-seq
substantia nigra male adult (81 year)	ChIP-seq EZH2phosphoT487
substantia nigra male adult (81 year)	ChIP-seq H3K27ac
substantia nigra male adult (81 year)	ChIP-seq HDAC2
substantia nigra male adult (81 year)	ChIP-seq SMC3
substantia nigra male adult (81 year)	polyA RNA-seq
right atrium auricular region female adult (51 year)	ChIP-seq ETS1
right atrium auricular region female adult (51 year)	ChIP-seq H3K18ac
right atrium auricular region female adult (51 year)	ChIP-seq H4K8ac
right atrium auricular region female adult (51 year)	ChIP-seq RXRA
right atrium auricular region female adult (51 year)	RAMPAGE
chorionic villus male embryo (16 weeks)	ChIP-seq ELK1
chorionic villus male embryo (16 weeks)	ChIP-seq H3F3A
chorionic villus male embryo (16 weeks)	ChIP-seq H3K9me3
chorionic villus male embryo (16 weeks)	ChIP-seq REST
chorionic villus male embryo (16 weeks)	ChIP-seq ZFP36
stomach male adult (54 years)	ChIP-seq EGR1
stomach male adult (54 years)	ChIP-seq H2BK15ac
stomach male adult (54 years)	ChIP-seq H3K9ac
stomach male adult (54 years)	ChIP-seq RAD21
stomach male adult (54 years)	ChIP-seq YY1
NCI-H460 nuclear fraction	ChIP-seq CHD2
NCI-H460 nuclear fraction	ChIP-seq H2BK120ac
NCI-H460 nuclear fraction	ChIP-seq H3K79me1
NCI-H460 nuclear fraction	ChIP-seq POLR2A
NCI-H460 nuclear fraction	ChIP-seq USF1
adrenal gland male adult (54 years)	ChIP-seq BHLHE40
adrenal gland male adult (54 years)	ChIP-seq H2AFZ
adrenal gland male adult (54 years)	ChIP-seq H3K4me2
adrenal gland male adult (54 years)	ChIP-seq MAZ
adrenal gland male adult (54 years)	ChIP-seq TBP
SK-MEL-5	CAGE
SK-MEL-5	ChIP-seq GABPA
SK-MEL-5	ChIP-seq H3K4ac
SK-MEL-5	ChIP-seq MAFK
SK-MEL-5	ChIP-seq TAF1
SK-MEL-5	total RNA-seq
gastrocnemius medialis female adult (51 year)	ChIP-seq FOXA1
gastrocnemius medialis female adult (51 year)	ChIP-seq H3K27me3
gastrocnemius medialis female adult (51 year)	ChIP-seq JUND
gastrocnemius medialis female adult (51 year)	ChIP-seq SP1
gastrocnemius medialis female adult (51 year)	polyA depleted RNA-seq
breast epithelium female adult (51 year)	ChIP-seq EZH2
breast epithelium female adult (51 year)	ChIP-seq H3K23ac
breast epithelium female adult (51 year)	ChIP-seq H4K91ac
breast epithelium female adult (51 year)	ChIP-seq SIN3A
breast epithelium female adult (51 year)	microRNA-seq
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq EP300
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq H3K14ac
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq H4K20me1
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq RFX5
A549 treated with 0.02% ethanol for 1 hour	DNase-seq read-depth normalized signal
fibroblast of breast female adult (26 years)	ChIP-seq ELF1
fibroblast of breast female adult (26 years)	ChIP-seq H2BK5ac
fibroblast of breast female adult (26 years)	ChIP-seq H3K9me2
fibroblast of breast female adult (26 years)	ChIP-seq RCOR1
fibroblast of breast female adult (26 years)	ChIP-seq ZBTB33
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq CTCF
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H2BK12ac
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H3K79me2
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq POLR2AphosphoS5
temporal lobe female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq USF2
GM23248	ChIP-seq CEBPB
GM23248	ChIP-seq H2AK5ac
GM23248	ChIP-seq H3K4me3
GM23248	ChIP-seq NRF1
GM23248	ChIP-seq TCF12
placental basal plate male embryo (38 weeks)	ChIP-seq ATF3
placental basal plate male embryo (38 weeks)	ChIP-seq GTF2F1
placental basal plate male embryo (38 weeks)	ChIP-seq H3K4me1
placental basal plate male embryo (38 weeks)	ChIP-seq MAX
placental basal plate male embryo (38 weeks)	ChIP-seq TARDBP
thyroid gland male adult (54 years)	ATAC-seq
thyroid gland male adult (54 years)	ChIP-seq FOXK2
thyroid gland male adult (54 years)	ChIP-seq H3K36me3
thyroid gland male adult (54 years)	ChIP-seq KDM1A
thyroid gland male adult (54 years)	ChIP-seq SUZ12
thyroid gland male adult (54 years)	small RNA-seq
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq EZH2phosphoT487
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq H3K27ac
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq HDAC2
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	ChIP-seq SMC3
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	polyA RNA-seq
small intestine male child (3 years)	ChIP-seq ETS1
small intestine male child (3 years)	ChIP-seq H3K18ac
small intestine male child (3 years)	ChIP-seq H4K8ac
small intestine male child (3 years)	ChIP-seq RXRA
small intestine male child (3 years)	RAMPAGE
MCF-7 cytosolic fraction	ChIP-seq ELK1
MCF-7 cytosolic fraction	ChIP-seq H3F3A
MCF-7 cytosolic fraction	ChIP-seq H3K9me3
MCF-7 cytosolic fraction	ChIP-seq REST
MCF-7 cytosolic fraction	ChIP-seq ZFP36
suprapubic skin male adult (37 years)	ChIP-seq EGR1
suprapubic skin male adult (37 years)	ChIP-seq H2BK15ac
suprapubic skin male adult (37 years)	ChIP-seq H3K9ac
suprapubic skin male adult (37 years)	ChIP-seq RAD21
suprapubic skin male adult (37 years)	ChIP-seq YY1
H7-hESC	ChIP-seq CHD2
H7-hESC	ChIP-seq H2BK120ac
H7-hESC	ChIP-seq H3K79me1
H7-hESC	ChIP-seq POLR2A
H7-hESC	ChIP-seq USF1
mesenchymal stem cell originated from H1-hESC	ChIP-seq BHLHE40
mesenchymal stem cell originated from H1-hESC	ChIP-seq H2AFZ
mesenchymal stem cell originated from H1-hESC	ChIP-seq H3K4me2
mesenchymal stem cell originated from H1-hESC	ChIP-seq MAZ
mesenchymal stem cell originated from H1-hESC	ChIP-seq TBP
body of pancreas female adult (53 years)	CAGE
body of pancreas female adult (53 years)	ChIP-seq GABPA
body of pancreas female adult (53 years)	ChIP-seq H3K4ac
body of pancreas female adult (53 years)	ChIP-seq MAFK
body of pancreas female adult (53 years)	ChIP-seq TAF1
body of pancreas female adult (53 years)	total RNA-seq
skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)	ChIP-seq FOXA1
skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)	ChIP-seq H3K27me3
