# Biosample	Assay
Parathyroid adenoma male adult (65 years)	ChIP-seq H3K27me3
GM06990	ChIP-seq H3K36me3
testis male adult (37 years)	ChIP-seq SUZ12
substantia nigra female adult (75 years)	ChIP-seq ZFP36
fibroblast of lung male adult (45 years)	ChIP-seq SUZ12
foreskin fibroblast male newborn	ChIP-seq EZH2
SK-MEL-5 cytosolic fraction	ChIP-seq RCOR1
IMR-90	ChIP-seq H3K9me3
Caco-2	ChIP-seq H2BK5ac
small intestine male embryo (108 days)	ChIP-seq H2BK15ac
fibroblast of breast female adult (26 years)	ChIP-seq H2BK5ac
OCI-LY7	RAMPAGE
esophagus muscularis mucosa female adult (51 year)	ChIP-seq TAF1
uterus female adult (53 years)	ChIP-seq H2BK15ac
tibial nerve female adult (53 years)	ChIP-seq H2BK5ac
adipocyte originated from mesenchymal stem cell	ChIP-seq H3K27me3
A172	microRNA-seq
omental fat pad female adult (51 year)	ChIP-seq POLR2A
muscle layer of duodenum male adult (59 years)	ChIP-seq TBP
gastroesophageal sphincter male adult (37 years)	ChIP-seq FOXK2
HT1080 nuclear fraction	ChIP-seq H3K27me3
mesenchymal stem cell of adipose	ChIP-seq H2BK12ac
SK-N-DZ treated with dimethyl sulfoxide for 72 hours	ChIP-seq H2BK5ac
fibroblast of breast female adult (26 years)	ChIP-seq RCOR1
HeLa-S3 G1b phase	ChIP-seq SP1
H9 genetically modified using stable transfection	ChIP-seq SP1
mesodermal cell originated from HUES64	ChIP-seq MAFK
subcutaneous adipose tissue female adult (53 years)	ChIP-seq H2BK15ac
middle frontal area 46 female adult (75 years)	CAGE
tibial nerve female adult (53 years)	ChIP-seq ZBTB33
NCI-H460	ChIP-seq KDM1A
Panc1	ChIP-seq RFX5
thyroid gland female adult (51 year)	ChIP-seq CEBPB
thyroid gland female adult (53 years)	ChIP-seq H2AFZ
HeLa-S3 nuclear fraction	ChIP-seq H4K20me1
skeletal muscle tissue	small RNA-seq
esophagus squamous epithelium female adult (53 years)	ChIP-seq ZBTB33
HUES6	RAMPAGE
GM12891	ChIP-seq TBP
iPS DF 19.11 male newborn	ChIP-seq USF2
thyroid gland male adult (37 years)	ChIP-seq POLR2A
keratinocyte nuclear fraction female	ChIP-seq EZH2phosphoT487
CD14-positive monocyte male adult (21 year)	ChIP-seq ATF3
GM12878 nucleolus fraction	ChIP-seq H3K9me3
tibial artery female adult (53 years)	ChIP-seq CEBPB
SJCRH30	ChIP-seq POLR2AphosphoS5
CD14-positive monocyte female	ChIP-seq RCOR1
esophagus squamous epithelium female adult (53 years)	ChIP-seq H2BK5ac
GM23248	ChIP-seq NRF1
epithelial cell of proximal tubule	ChIP-seq H3K14ac
HeLa-S3 G1b phase	ChIP-seq JUND
H7-hESC	ChIP-seq H3K79me1
spinal cord female embryo (24 weeks) and male embryo (22 weeks)	polyA depleted RNA-seq
HEK293	ChIP-seq CHD2
subcutaneous adipose tissue male adult (37 years)	ChIP-seq HDAC2
esophagus squamous epithelium female adult (51 year)	ChIP-seq FOXK2
lower leg skin female adult (51 year)	ChIP-seq SMC3
Peyer's patch male adult (54 years)	ChIP-seq EZH2
SK-N-MC	ChIP-seq H3K18ac
liver male adult (32 years)	ChIP-seq RFX5
CD14-positive monocyte female	ChIP-seq ELF1
heart left ventricle male adult (34 years)	ChIP-seq RFX5
common myeloid progenitor, CD34-positive female adult (33 years)	ChIP-seq ATF3
hematopoietic multipotent progenitor cell	polyA RNA-seq
gastroesophageal sphincter female adult (53 years)	ChIP-seq ZBTB33
sigmoid colon male child (3 years)	ChIP-seq USF2
thyroid gland male adult (37 years)	ChIP-seq USF1
myotube	ChIP-seq HDAC2
A549 cytosolic fraction	ChIP-seq H3F3A
skeletal muscle tissue	ChIP-seq H3K36me3
MCF-7 nuclear fraction	polyA depleted RNA-seq
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq EP300
SK-N-DZ treated with dimethyl sulfoxide for 72 hours	ChIP-seq RCOR1
body of pancreas female adult (53 years)	ChIP-seq MAFK
subcutaneous adipose tissue female adult (51 year)	ChIP-seq JUND
GM12878 nuclear fraction	ChIP-seq BHLHE40
placenta male embryo (16 weeks)	ChIP-seq H2BK5ac
subcutaneous adipose tissue female adult (51 year)	ChIP-seq FOXA1
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq SMC3
gastrocnemius medialis male adult (37 years)	ChIP-seq YY1
body of pancreas male adult (37 years)	ChIP-seq H2AK5ac
mesenchymal stem cell originated from H1-hESC	ChIP-seq H3K4me2
small intestine female adult (30 years)	ChIP-seq H3K27ac
omental fat pad female adult (53 years)	ChIP-seq H3K4ac
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq TCF12
mammary epithelial cell female adult (18 years)	ChIP-seq CHD2
mammary epithelial cell female adult (50 years)	ChIP-seq ETS1
MCF-7 cytosolic fraction	ChIP-seq H3K9me3
esophagus male adult (34 years)	ChIP-seq TBP
ovary female adult (51 year)	ChIP-seq SP1
Loucy	ChIP-seq GABPA
lung female embryo (120 days)	ChIP-seq H4K20me1
liver male adult (78 years)	ChIP-seq H3K4me2
small intestine male embryo (108 days)	ChIP-seq EGR1
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq H3K23ac
muscle of leg female embryo (110 days)	ChIP-seq ZBTB33
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq POLR2A
SK-MEL-5 cytosolic fraction	ChIP-seq ELF1
adrenal gland female adult (53 years)	ChIP-seq TCF12
PC-9	ChIP-seq TARDBP
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq SUZ12
GM12878	ChIP-seq POLR2AphosphoS5
muscle of leg female embryo (110 days)	ChIP-seq H2BK5ac
thyroid gland female adult (51 year)	ChIP-seq TCF12
keratinocyte nuclear fraction female	ChIP-seq H3K27ac
placenta embryo (16 weeks)	ChIP-seq CHD2
iPS-20b male adult (55 years)	ChIP-seq RXRA
stomach male child (3 years)	ChIP-seq FOXA1
sigmoid colon female adult (53 years)	ChIP-seq H2BK12ac
cardiac muscle cell	ChIP-seq SIN3A
stomach female adult (53 years)	ChIP-seq H3K9me3
CD4-positive, alpha-beta memory T cell	ChIP-seq USF2
adrenal gland male adult (34 years)	ChIP-seq H3K4me3
lung female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq USF2
cardiac muscle cell	ChIP-seq H4K91ac
caudate nucleus male adult (81 year)	ChIP-seq YY1
mammary stem cell	ChIP-seq H3K27ac
HeLa-S3 nuclear fraction	ChIP-seq H3K14ac
neuron originated from H9	ChIP-seq BHLHE40
gastrocnemius medialis male adult (54 years)	ChIP-seq RCOR1
placenta female embryo (113 days)	ChIP-seq CTCF
placental basal plate male embryo (38 weeks)	ChIP-seq GTF2F1
peripheral blood mononuclear cell female adult (28 years)	ChIP-seq ZFP36
M059J	ChIP-seq ZFP36
upper lobe of left lung male adult (54 years)	ChIP-seq H2BK15ac
spleen male adult (34 years)	ChIP-seq TAF1
stomach female adult (53 years)	ChIP-seq ELK1
hepatocyte originated from H9	ChIP-seq H3K4me2
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq ETS1
endocrine pancreas male adult (45 years)	ChIP-seq TBP
amnion male embryo (16 weeks)	ChIP-seq MAFK
stomach male adult (37 years)	ChIP-seq NRF1
thyroid gland male adult (37 years)	ChIP-seq H3K79me1
endothelial cell of umbilical vein nuclear fraction male newborn	polyA RNA-seq
liver female child (4 years)	ChIP-seq RXRA
breast epithelium female adult (51 year)	ChIP-seq H3K23ac
body of pancreas female adult (53 years)	ChIP-seq H3K4ac
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq SP1
uterus female adult (53 years)	ChIP-seq H3K9ac
trophoblast female embryo (20 weeks)	ChIP-seq CEBPB
spleen female adult (51 year)	polyA RNA-seq
skeletal muscle tissue male adult (54 years)	ChIP-seq H3K79me2
HT1080 nuclear fraction	ChIP-seq SP1
uterus female adult (51 year)	ChIP-seq EP300
liver male adult (78 years)	ChIP-seq H2AFZ
heart left ventricle female adult (51 year)	ChIP-seq CEBPB
subcutaneous adipose tissue female adult (53 years)	ChIP-seq YY1
natural killer cell male adult (21 year)	ChIP-seq H2BK120ac
pancreas female adult (30 years)	ChIP-seq EGR1
breast epithelium female adult (53 years)	ChIP-seq USF1
A549	ChIP-seq H4K20me1
epithelial cell of proximal tubule	DNase-seq read-depth normalized signal
gastrocnemius medialis female adult (51 year)	ChIP-seq JUND
mesendoderm originated from H1-hESC	ChIP-seq CHD2
SJCRH30	ChIP-seq USF2
lower leg skin female adult (51 year)	ChIP-seq HDAC2
liver male adult (32 years)	ChIP-seq EP300
spleen male child (3 years)	ChIP-seq RFX5
spleen female adult (51 year)	ChIP-seq H3K27ac
sigmoid colon male child (3 years)	ChIP-seq H3K79me2
mucosa of stomach male adult (59 years)	ChIP-seq POLR2AphosphoS5
A549 treated with 100 nM dexamethasone for 1 hour	ChIP-seq NRF1
iPS DF 19.11 male newborn	ChIP-seq CTCF
breast epithelium female adult (53 years)	ChIP-seq POLR2A
myoepithelial cell of mammary gland female adult (33 years)	ATAC-seq
kidney epithelial cell	ChIP-seq H3K36me3
K562 nuclear fraction	ChIP-seq H2BK5ac
amnion male embryo (16 weeks)	total RNA-seq
GM12892	ChIP-seq RCOR1
SK-N-DZ cytosolic fraction	ChIP-seq GABPA
HeLa-S3	ChIP-seq ATF3
middle frontal area 46 female adult (75 years)	ChIP-seq MAFK
placental basal plate male embryo (38 weeks)	ChIP-seq ATF3
small intestine male adult (34 years)	ChIP-seq RCOR1
body of pancreas female adult (51 year)	ChIP-seq RXRA
prostate gland male adult (54 years)	ChIP-seq SUZ12
iPS-18a female adult (48 years)	ChIP-seq H4K91ac
fibroblast of breast female adult (26 years)	ChIP-seq ELF1
keratinocyte female	ChIP-seq TCF12
GM12891	ChIP-seq MAZ
adrenal gland male adult (34 years)	ChIP-seq CEBPB
Peyer's patch female adult (53 years)	ChIP-seq H2BK15ac
neuron originated from H9	ChIP-seq TBP
neutrophil male	ChIP-seq GABPA
B cell female adult (27 years)	ChIP-seq JUND
GM23338 male adult (53 years) originated from GM23248	ChIP-seq H3K79me2
small intestine male child (3 years)	ChIP-seq ETS1
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq EZH2
aorta female adult (30 years)	ChIP-seq MAZ
adrenal gland female adult (51 year)	ChIP-seq H4K8ac
chorion female embryo (40 weeks)	ChIP-seq H2AFZ
substantia nigra female adult (75 years)	ChIP-seq H3F3A
keratinocyte nuclear fraction female	ChIP-seq HDAC2
stomach female adult (51 year)	ChIP-seq RXRA
SK-N-MC	ChIP-seq ETS1
kidney female embryo (120 days)	ChIP-seq TBP
gastrocnemius medialis male adult (54 years)	ChIP-seq H2BK5ac
adrenal gland female adult (30 years)	ChIP-seq ELF1
sigmoid colon male adult (54 years)	ChIP-seq H3K23ac
foreskin melanocyte male newborn	ChIP-seq ELK1
NCI-H929	ChIP-seq H3K23ac
adrenal gland male embryo (97 days)	ChIP-seq EZH2
CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq RCOR1
H9	ChIP-seq POLR2A
DND-41	ChIP-seq TARDBP
HUES48	ChIP-seq ZFP36
muscle layer of colon female adult (77 years)	RAMPAGE
rectal smooth muscle tissue female adult (50 years)	ChIP-seq H3F3A
esophagus squamous epithelium male adult (37 years)	ChIP-seq RFX5
trophoblast female embryo (40 weeks)	ChIP-seq H4K20me1
heart left ventricle female adult (53 years)	ChIP-seq ZBTB33
mucosa of stomach male adult (59 years)	ChIP-seq USF2
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq YY1
body of pancreas female adult (53 years)	ChIP-seq GABPA
sigmoid colon female adult (53 years)	ChIP-seq CTCF
transverse colon female adult (51 year)	ChIP-seq H3K23ac
testis male adult (54 years)	ChIP-seq H3K79me1
SK-N-SH nuclear fraction	ChIP-seq H4K91ac
uterus female adult (51 year)	ChIP-seq H4K20me1
kidney male adult (67 years)	ChIP-seq RCOR1
kidney female embryo (120 days)	ChIP-seq BHLHE40
heart right ventricle male adult (34 years)	ChIP-seq SIN3A
layer of hippocampus female adult (75 years)	ChIP-seq H3K23ac
esophagus squamous epithelium male adult (54 years)	ChIP-seq MAX
MCF-7	ATAC-seq
rectal smooth muscle tissue female adult (50 years)	ChIP-seq ZFP36
upper lobe of left lung male adult (54 years)	ChIP-seq YY1
sigmoid colon male adult (34 years)	ChIP-seq H3K27me3
hepatocyte originated from H9	ChIP-seq H2AFZ
AG04450	ChIP-seq H4K20me1
ectodermal cell originated from embryonic stem cell	ChIP-seq RFX5
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq H3K9ac
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq EZH2
prostate gland male adult (54 years)	ChIP-seq KDM1A
stomach male adult (54 years)	ChIP-seq EGR1
H1-hESC nuclear fraction	ChIP-seq RCOR1
kidney male adult (50 years)	ChIP-seq H3K9ac
placental basal plate female embryo (40 weeks)	ChIP-seq KDM1A
SK-N-SH nuclear fraction	ChIP-seq EZH2
SK-N-SH cytosolic fraction	ChIP-seq USF2
subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)	ChIP-seq H3K27me3
iPS-18a female adult (48 years)	microRNA-seq
placental pericyte female newborn and male newborn	ChIP-seq TBP
H1-hESC nuclear fraction	ChIP-seq ELF1
MCF-7 nuclear fraction	ChIP-seq SP1
gastrocnemius medialis male adult (37 years)	ChIP-seq EGR1
tibial artery female adult (53 years)	ChIP-seq TCF12
adrenal gland male embryo (97 days)	ChIP-seq H4K91ac
liver male adult (31 year)	ChIP-seq EZH2
upper lobe of left lung male adult (54 years)	ChIP-seq EGR1
common myeloid progenitor, CD34-positive female adult (33 years)	ChIP-seq TARDBP
HEK293T	total RNA-seq
muscle layer of colon female adult (77 years)	ChIP-seq RXRA
upper lobe of left lung female adult (53 years)	ChIP-seq H4K20me1
A673	ChIP-seq TBP
A172	ChIP-seq H3K23ac
sigmoid colon female adult (53 years)	ChIP-seq H3K79me2
upper lobe of left lung female adult (53 years)	ChIP-seq RFX5
H1-hESC	ChIP-seq TBP
placenta female embryo (113 days)	ChIP-seq H3K79me2
ovary female adult (30 years)	ChIP-seq GTF2F1
transverse colon male adult (37 years)	ChIP-seq RXRA
ovary female adult (53 years)	ChIP-seq FOXK2
myoepithelial cell of mammary gland female adult (36 years)	ChIP-seq H4K20me1
Karpas-422	ChIP-seq NRF1
mucosa of rectum female adult (50 years)	ChIP-seq GTF2F1
CD8-positive, alpha-beta T cell	ChIP-seq H2AFZ
keratinocyte female	ChIP-seq H3K4me3
HEK293	ChIP-seq USF1
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq USF1
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq H4K20me1
foreskin melanocyte male newborn	ChIP-seq REST
esophagus female adult (30 years)	ChIP-seq TARDBP
neural cell	ChIP-seq TBP
mesenchymal stem cell originated from H1-hESC	ChIP-seq H2AFZ
hepatocyte originated from H9	ChIP-seq TBP
suprapubic skin male adult (54 years)	ChIP-seq TBP
neural stem progenitor cell originated from H1-hESC	ChIP-seq H3F3A
A549 nuclear fraction	ChIP-seq USF1
vagina female adult (53 years)	ChIP-seq ZFP36
SK-MEL-5 nuclear fraction	ChIP-seq USF2
aorta male adult (34 years)	ChIP-seq MAX
M059J	ChIP-seq H3K9me3
lung female adult (30 years)	ChIP-seq H2BK120ac
A549 nuclear fraction	ChIP-seq POLR2A
thoracic aorta male adult (54 years)	ChIP-seq YY1
body of pancreas male adult (54 years)	ChIP-seq USF1
effector memory CD4-positive, alpha-beta T cell	ChIP-seq GABPA
neutrophil	ChIP-seq USF2
esophagus muscularis mucosa female adult (53 years)	ChIP-seq KDM1A
esophagus muscularis mucosa male adult (54 years)	ChIP-seq ELK1
chorionic villus embryo (16 weeks)	ChIP-seq SP1
KMS-11	ChIP-seq H3K36me3
large intestine male embryo (108 days)	ChIP-seq ZFP36
HUES6	ChIP-seq RXRA
A673	ChIP-seq H2AFZ
iPS DF 6.9 male newborn	ChIP-seq H4K20me1
subcutaneous abdominal adipose tissue nuclear fraction female adult (25 years)	ChIP-seq EZH2phosphoT487
ovary female adult (30 years)	ChIP-seq ATF3
liver male adult (78 years)	ChIP-seq TBP
stomach female embryo (96 days)	ChIP-seq EGR1
uterus female adult (51 year)	ChIP-seq H3K14ac
mammary stem cell	polyA RNA-seq
A549 nuclear fraction	ChIP-seq CHD2
suprapubic skin male adult (54 years)	ChIP-seq MAZ
thyroid gland female adult (53 years)	ChIP-seq H3K4me2
gastroesophageal sphincter male adult (37 years)	ChIP-seq H3K36me3
stomach female embryo (96 days)	ChIP-seq H2BK15ac
placenta female embryo (113 days)	ChIP-seq H2BK12ac
placental basal plate female embryo (40 weeks)	ChIP-seq SUZ12
vagina female adult (51 year)	ChIP-seq NRF1
hematopoietic multipotent progenitor cell	ChIP-seq H3K27ac
adrenal gland male adult (54 years)	ChIP-seq TBP
adrenal gland male adult (37 years)	ChIP-seq NRF1
effector memory CD4-positive, alpha-beta T cell	ChIP-seq TAF1
neural stem progenitor cell originated from H9	ChIP-seq H4K91ac
placental epithelial cell female newborn and male newborn	ChIP-seq RFX5
HUES48	ChIP-seq REST
Daoy	ChIP-seq H4K20me1
right cardiac atrium male adult (34 years)	ChIP-seq BHLHE40
B cell male adult (21 year)	ChIP-seq H3K23ac
body of pancreas female adult (51 year)	ChIP-seq H4K8ac
pancreas female adult (30 years)	ChIP-seq YY1
A673	ChIP-seq MAZ
middle frontal area 46 female adult (75 years)	total RNA-seq
adipocyte originated from mesenchymal stem cell	ChIP-seq SP1
SU-DHL-6	ChIP-seq ELF1
uterus female adult (53 years)	ChIP-seq YY1
fibroblast of dermis	ChIP-seq H3K79me1
omental fat pad female adult (53 years)	ChIP-seq GABPA
gastrocnemius medialis female adult (51 year)	ChIP-seq H3K27me3
kidney male adult (50 years)	ChIP-seq EGR1
adrenal gland female adult (51 year)	ChIP-seq ETS1
psoas muscle male child (3 years)	ChIP-seq H3K9ac
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq H2AK5ac
NCI-H460 cytosolic fraction	ChIP-seq REST
thyroid gland female adult (53 years)	ChIP-seq BHLHE40
HT-29	ChIP-seq ETS1
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq CEBPB
NT2/D1	ChIP-seq H2BK5ac
mammary epithelial cell female adult (50 years)	ChIP-seq RXRA
thoracic aorta male adult (37 years)	ChIP-seq SIN3A
lung female adult (30 years)	ChIP-seq USF1
H9 genetically modified using stable transfection	ChIP-seq JUND
placental pericyte female newborn and male newborn	ChIP-seq H2AFZ
right atrium auricular region female adult (53 years)	ChIP-seq RAD21
liver male adult (32 years)	ChIP-seq H3K14ac
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq H4K20me1
CD14-positive monocyte male adult (21 year)	ChIP-seq MAX
luminal epithelial cell of mammary gland female adult (33 years)	ChIP-seq H3K4me2
natural killer cell male adult (21 year)	ChIP-seq CHD2
muscle layer of colon female adult (56 years)	ChIP-seq H2AK5ac
IMR-90 cytosolic fraction	ChIP-seq H3K27me3
liver male adult (31 year)	ChIP-seq SIN3A
spleen male adult (54 years)	ChIP-seq ATF3
CD8-positive, alpha-beta memory T cell	ChIP-seq ATF3
skeletal muscle myoblast	ChIP-seq TARDBP
thoracic aorta endothelial cell female adult (22 years) and male adult (55 years)	ChIP-seq GABPA
adrenal gland male adult (54 years)	ChIP-seq H3K4me2
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq CHD2
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H3K79me1
heart female embryo (19 weeks) and female embryo (28 weeks)	ChIP-seq USF2
transverse colon female adult (51 year)	microRNA-seq
colonic mucosa female adult (73 years)	ChIP-seq SMC3
ovary female adult (53 years)	ChIP-seq KDM1A
subcutaneous adipose tissue male adult (37 years)	ChIP-seq EZH2phosphoT487
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq NRF1
mammary epithelial cell female adult (50 years)	ChIP-seq H4K8ac
brain female embryo (17 weeks)	ChIP-seq USF1
common myeloid progenitor, CD34-positive male adult (42 years)	RAMPAGE
chorion female embryo (40 weeks)	ChIP-seq BHLHE40
large intestine male embryo (108 days)	ChIP-seq ELK1
right atrium auricular region female adult (51 year)	ChIP-seq RXRA
subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)	polyA depleted RNA-seq
NCI-H460 cytosolic fraction	ChIP-seq ZFP36
caudate nucleus male adult (81 year)	ChIP-seq EGR1
CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq ELF1
placental basal plate male embryo (38 weeks)	ChIP-seq TARDBP
SK-N-SH cytosolic fraction	ChIP-seq POLR2AphosphoS5
esophagus squamous epithelium male adult (54 years)	ChIP-seq TARDBP
HL-60	ChIP-seq H3K4me3
mesenchymal stem cell originated from adipose tissue	ChIP-seq H3K4me3
gastroesophageal sphincter female adult (51 year)	ChIP-seq YY1
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq RFX5
colonic mucosa female adult (56 years)	ChIP-seq GABPA
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq ZFP36
A549 nuclear fraction	ChIP-seq H3K79me1
H9	ChIP-seq USF1
placenta female embryo (113 days)	ChIP-seq POLR2AphosphoS5
gastroesophageal sphincter male adult (37 years)	ChIP-seq SUZ12
K562 nuclear fraction	ChIP-seq RCOR1
fibroblast of lung male adult (45 years)	ChIP-seq KDM1A
esophagus muscularis mucosa female adult (53 years)	small RNA-seq
CD4-positive, alpha-beta T cell	ChIP-seq H2BK15ac
HCT116	ChIP-seq MAZ
H9 genetically modified using stable transfection	polyA depleted RNA-seq
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq H3K27ac
Parathyroid adenoma male adult (65 years)	ChIP-seq SP1
B cell male adult (21 year)	ChIP-seq EZH2
mesenchymal stem cell originated from H1-hESC	ChIP-seq TBP
HepG2	ChIP-seq RCOR1
upper lobe of left lung female adult (53 years)	DNase-seq read-depth normalized signal
substantia nigra female adult (75 years)	ChIP-seq REST
lung female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H3K79me2
Parathyroid adenoma male adult (62 years)	ChIP-seq GABPA
heart left ventricle female adult (51 year)	ChIP-seq TCF12
adrenal gland male adult (37 years)	ChIP-seq H3K4me3
mesenchymal stem cell of the bone marrow	ChIP-seq H2BK120ac
rectal smooth muscle tissue female adult (50 years)	ChIP-seq ELK1
skeletal muscle myoblast	ChIP-seq H3K4me1
muscle of leg female embryo (110 days)	ChIP-seq RCOR1
spleen female adult (51 year)	ChIP-seq HDAC2
A549 nuclear fraction	ChIP-seq H2BK120ac
foreskin keratinocyte male newborn	ChIP-seq GTF2F1
peripheral blood mononuclear cell female adult (28 years)	ChIP-seq REST
mammary epithelial cell female adult (23 years)	ChIP-seq TAF1
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq NRF1
mucosa of rectum female adult (50 years)	ChIP-seq ATF3
muscle layer of duodenum male adult (73 years)	ChIP-seq H2BK5ac
suprapubic skin female adult (53 years)	ChIP-seq H3K4ac
germinal matrix male embryo (20 weeks)	ChIP-seq TAF1
HepG2 nuclear fraction	ChIP-seq EGR1
CD14-positive monocyte male adult (21 year)	ChIP-seq TARDBP
heart right ventricle male child (3 years)	ChIP-seq REST
endothelial cell of umbilical vein cytosolic fraction male newborn	ChIP-seq CTCF
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H3K9ac
body of pancreas female adult (53 years)	total RNA-seq
skin of body female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq NRF1
IMR-90 nuclear fraction	ChIP-seq H3K4ac
osteoblast	ChIP-seq H3K27me3
A549 treated with 100 nM dexamethasone for 1 hour	ChIP-seq H3K4me3
mammary epithelial cell female adult (50 years)	ChIP-seq H3K18ac
GM12891	ChIP-seq H2AFZ
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H4K8ac
HeLa-S3 nuclear fraction	DNase-seq read-depth normalized signal
adipocyte originated from mesenchymal stem cell	polyA depleted RNA-seq
layer of hippocampus male adult (73 years)	ChIP-seq H3K4me2
KMS-11	ATAC-seq
fibroblast of dermis	ChIP-seq POLR2A
uterus female embryo (24 weeks) and female embryo (28 weeks)	ChIP-seq GTF2F1
chorion male embryo (16 weeks)	ChIP-seq H2BK120ac
mammary stem cell	ChIP-seq EZH2phosphoT487
K562 nucleolus fraction	ChIP-seq H3K9ac
breast epithelium female adult (51 year)	ChIP-seq SIN3A
kidney female embryo (120 days)	ChIP-seq MAZ
upper lobe of left lung male adult (37 years)	ChIP-seq HDAC2
T-cell	ChIP-seq TARDBP
skeletal muscle myoblast	ChIP-seq MAX
skeletal muscle tissue male adult (54 years)	ChIP-seq USF2
esophagus muscularis mucosa female adult (51 year)	ChIP-seq MAFK
HeLa-S3 G1b phase	polyA depleted RNA-seq
BJ	ChIP-seq EZH2
HCT116	ChIP-seq TBP
MM.1S	DNase-seq read-depth normalized signal
H7-hESC	ChIP-seq CHD2
ovary female adult (30 years)	ChIP-seq MAX
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	DNase-seq read-depth normalized signal
lung male child (3 years)	ChIP-seq USF2
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq RFX5
colonic mucosa female adult (56 years)	total RNA-seq
liver male adult (31 year)	ChIP-seq H4K91ac
A549 treated with 0.02% ethanol for 1 hour	ChIP-seq EP300
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	ChIP-seq JUND
suprapubic skin male adult (54 years)	ChIP-seq H2AFZ
brain male embryo (122 days)	polyA depleted RNA-seq
SK-N-DZ cytosolic fraction	total RNA-seq
spleen male adult (54 years)	ChIP-seq TARDBP
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq TAF1
adrenal gland male adult (54 years)	ChIP-seq MAZ
pancreas male adult (34 years)	ChIP-seq ATF3
substantia nigra male adult (81 year)	ChIP-seq H3K27ac
sigmoid colon male adult (34 years)	polyA depleted RNA-seq
right atrium auricular region female adult (53 years)	ChIP-seq H3K9ac
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq H3K36me3
tibial artery female adult (53 years)	ChIP-seq NRF1
NCI-H460	ATAC-seq
skeletal muscle tissue male adult (54 years)	ChIP-seq POLR2AphosphoS5
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq ELK1
placenta male embryo (16 weeks)	ChIP-seq ELF1
amnion male embryo (16 weeks)	ChIP-seq GABPA
GM12878 nuclear fraction	ChIP-seq TBP
Peyer's patch male adult (37 years)	ChIP-seq H2AK5ac
fibroblast of dermis female adult (44 years) and female adult (55 years)	ChIP-seq EZH2phosphoT487
stomach male child (3 years)	ChIP-seq SP1
iPS DF 6.9 male newborn	ChIP-seq H3K14ac
right cardiac atrium male adult (34 years)	ChIP-seq H2AFZ
small intestine female adult (30 years)	ChIP-seq HDAC2
H1-hESC	ChIP-seq BHLHE40
neutrophil	ChIP-seq H2BK12ac
breast epithelium female adult (53 years)	ChIP-seq H3K79me1
fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	microRNA-seq
common myeloid progenitor, CD34-positive male adult (42 years)	ChIP-seq RXRA
cingulate gyrus female adult (75 years)	ChIP-seq ZBTB33
angular gyrus male adult (81 year)	ChIP-seq ATF3
SK-N-DZ treated with dimethyl sulfoxide for 72 hours	ChIP-seq ELF1
